WHITE,ALCHY,JUNKY,SUPER,MARRIED,FELON,WORKREL,PROPTY,PERSON,MALE,PRIORS,SCHOOL,RULE,AGE,TSERVD,FOLLOW,RECID,TIME,FILE
1,0,0,0,0,0,1,0,0,1,0,9,0,253,11,55,1,29,2
0,0,0,1,1,1,1,1,0,1,-9,14,0,349,37,54,1,51,3
1,0,0,0,0,0,0,0,0,1,2,9,1,241,19,49,0,0,2
0,0,0,1,0,0,0,0,0,1,3,10,3,419,33,54,1,33,2
1,0,0,1,0,0,1,0,0,1,0,10,0,495,4,53,1,31,2
0,0,0,0,0,0,0,1,0,1,1,11,7,240,9,46,0,0,3
0,0,0,1,0,1,0,1,0,1,0,9,19,238,45,51,0,0,3
0,0,0,1,1,1,1,1,0,1,6,10,5,431,45,53,0,0,3
0,1,0,0,1,0,0,1,0,1,4,10,0,425,4,56,1,6,2
1,0,1,1,1,0,1,0,0,1,1,7,0,419,35,54,0,0,2
0,0,0,1,0,1,0,0,0,1,0,12,0,246,16,50,0,0,1
0,0,1,1,0,1,1,1,0,1,1,9,1,313,31,51,1,25,2
0,0,0,1,0,1,1,0,1,1,4,2,0,698,156,56,1,3,3
1,0,0,1,1,1,0,0,0,1,1,19,0,474,8,51,0,0,2
0,1,0,1,0,0,0,0,0,1,0,11,0,256,4,55,0,0,1
1,1,0,0,1,0,1,0,0,1,2,8,0,415,5,49,0,0,1
1,1,1,1,0,1,0,0,0,1,0,9,0,245,12,55,1,37,2
0,0,0,1,0,1,0,1,0,1,0,10,1,238,6,55,1,26,2
0,0,0,0,0,0,0,0,0,1,-9,9,1,424,3,46,0,0,3
0,0,0,1,0,1,0,1,0,1,0,9,2,218,12,49,1,4,1
0,0,1,0,0,1,1,1,0,1,0,10,6,264,38,57,1,12,1
0,0,1,1,1,1,0,0,0,1,0,9,0,368,8,53,1,23,2
1,1,0,1,0,0,0,0,0,1,0,12,0,388,2,49,0,49,2
1,0,0,0,1,0,0,0,0,1,1,12,0,677,5,53,0,0,3
0,1,0,1,0,0,0,0,0,1,3,10,0,265,2,52,1,8,2
1,1,1,0,1,1,0,1,0,1,0,9,0,205,4,54,1,17,2
1,1,0,1,0,1,0,1,0,1,0,7,0,227,8,48,0,0,2
0,0,1,1,1,1,1,0,0,1,0,12,1,279,11,48,0,0,2
1,0,0,1,1,1,1,0,0,1,1,11,0,387,11,55,0,0,2
1,0,0,1,1,0,0,0,0,1,0,8,0,431,2,53,1,8,2
1,0,0,0,0,1,0,0,0,1,-9,11,1,239,3,50,0,0,3
0,0,0,0,0,0,0,0,0,1,-9,9,0,240,2,49,1,6,3
0,1,0,0,1,0,0,0,0,1,10,9,0,701,12,49,0,0,2
0,0,0,1,0,1,0,1,0,1,0,12,4,256,17,46,1,9,1
1,0,0,1,0,0,0,1,0,0,0,10,0,262,11,46,0,0,2
1,0,1,1,0,1,0,0,0,1,0,11,0,239,3,46,1,22,2
1,0,0,1,0,0,0,0,0,1,0,2,2,210,18,56,1,29,2
0,1,1,1,0,0,1,1,0,1,0,12,4,340,70,49,1,11,1
0,0,0,1,1,0,1,0,0,1,3,3,0,573,3,47,0,0,3
1,0,0,1,1,1,1,1,0,1,2,11,8,294,77,51,1,14,2
0,0,0,1,1,1,1,0,1,1,0,14,0,621,9,54,0,0,2
1,0,0,1,0,0,1,0,0,0,0,14,0,300,11,55,0,0,2
0,0,0,1,0,0,0,0,0,0,0,9,0,298,2,57,0,0,3
0,0,0,1,0,1,0,0,1,0,1,4,0,383,30,47,0,0,3
0,0,0,1,0,0,1,1,0,0,0,11,1,260,10,52,1,5,3
0,0,0,1,1,1,0,1,0,1,0,12,0,276,1,54,0,0,2
0,0,0,1,0,1,0,0,1,1,0,10,2,374,58,46,0,0,2
1,0,0,1,1,0,1,0,0,1,2,7,1,432,27,49,0,0,1
0,0,0,1,0,1,1,1,0,0,1,10,3,278,26,57,1,7,3
1,0,0,1,1,0,1,0,0,1,0,7,0,488,8,48,0,0,3
1,0,0,1,0,0,1,0,0,1,0,14,0,417,15,56,0,0,3
1,0,0,1,0,1,0,1,0,1,0,6,10,255,36,56,0,0,2
0,0,0,0,1,0,0,1,0,1,-9,12,0,335,3,50,1,40,3
0,0,0,0,0,0,1,0,0,1,8,10,0,561,6,47,1,6,3
1,1,0,1,0,1,0,0,0,1,0,8,10,244,25,50,0,0,2
0,0,0,1,0,1,1,0,1,1,0,6,0,436,43,46,0,0,2
1,0,0,0,0,0,0,0,0,1,1,8,1,373,7,53,0,0,3
1,0,0,1,1,1,0,0,0,1,0,4,0,723,3,47,0,0,3
1,0,0,0,0,0,0,0,0,1,4,7,13,287,10,46,0,0,3
0,0,0,1,0,1,0,1,0,1,8,3,0,606,40,56,0,0,2
0,0,0,1,0,0,0,0,0,1,0,11,0,264,1,52,1,20,2
1,1,0,0,0,0,0,0,0,1,-9,12,0,385,1,53,0,0,3
1,1,1,1,0,0,1,0,0,1,1,12,0,342,4,55,0,0,2
1,1,1,1,0,0,1,1,0,1,0,8,0,229,6,57,0,0,2
0,1,0,1,0,1,1,0,1,1,0,8,0,539,19,48,0,0,1
1,0,0,0,0,1,1,1,0,0,0,12,1,462,21,49,0,0,3
1,0,0,1,1,0,1,0,0,1,8,10,1,512,6,46,0,0,3
0,1,1,1,0,0,1,0,0,1,0,10,2,384,61,49,0,0,2
0,1,0,1,0,0,1,0,0,1,0,9,2,369,12,46,0,0,1
0,0,0,0,1,0,1,0,0,1,-9,12,0,490,2,52,0,0,3
0,0,0,1,0,1,0,1,0,0,0,9,0,249,4,52,0,0,2
1,0,0,0,0,0,0,0,0,1,-9,11,0,452,3,51,0,0,3
1,1,0,0,0,0,0,0,0,1,1,1,0,679,14,52,1,3,2
0,0,0,1,0,0,1,0,0,0,1,12,2,428,40,50,0,0,3
0,1,0,1,1,0,0,0,0,1,4,5,0,644,3,50,1,33,1
1,0,0,1,0,1,1,0,0,1,0,12,2,349,13,51,0,0,1
1,0,0,0,0,1,0,1,0,1,1,2,7,229,17,46,0,0,3
0,0,0,1,0,0,0,0,0,1,3,5,0,446,7,49,0,0,3
0,0,0,0,0,0,1,1,0,1,0,11,2,287,7,48,0,0,2
1,0,0,1,0,0,1,0,0,1,0,5,0,440,4,49,0,0,1
1,0,0,1,0,0,1,1,0,1,0,8,1,289,45,49,1,39,2
1,0,1,1,0,1,0,0,0,1,0,12,1,292,10,54,0,0,2
1,0,0,1,1,0,0,1,0,0,0,7,0,603,9,53,0,0,2
0,0,0,0,0,0,1,0,0,1,-9,12,1,433,4,48,0,0,3
0,0,0,0,0,1,0,1,0,0,0,10,7,206,9,54,1,6,2
1,0,0,1,0,1,0,1,0,0,0,10,0,245,15,55,1,8,2
0,0,0,1,0,0,0,0,0,1,2,13,3,373,26,48,0,0,2
1,0,0,1,0,0,0,1,0,1,5,5,0,512,2,50,0,0,2
0,0,0,0,0,1,0,1,0,0,-9,12,0,316,3,54,1,41,3
0,0,1,1,0,0,1,0,0,1,2,12,1,410,23,48,0,0,2
0,0,1,1,0,1,1,1,0,1,10,4,0,596,26,56,1,43,2
0,0,0,1,0,0,0,0,1,1,0,11,0,471,2,53,1,37,3
0,0,0,1,0,0,1,1,0,1,1,6,0,313,3,46,0,0,3
0,0,0,1,0,0,1,0,0,1,1,14,6,420,50,47,1,8,3
1,0,0,1,1,1,1,1,0,1,1,14,0,455,19,48,0,0,2
0,0,0,1,0,1,1,0,1,1,0,10,3,285,50,57,0,0,2
1,0,0,1,0,0,0,0,0,1,0,12,0,291,1,51,0,0,2
1,0,0,1,0,1,0,1,0,1,0,9,0,258,12,49,1,16,2
1,0,0,1,0,0,1,0,0,1,0,11,1,336,5,53,0,0,2
0,0,0,1,0,0,1,0,0,1,0,12,1,324,15,46,0,0,2
0,0,0,1,1,0,0,0,0,0,1,11,0,400,10,53,0,0,3
0,0,0,0,0,1,1,0,0,1,-9,9,0,310,3,57,1,13,3
0,0,0,1,0,0,0,0,0,1,1,10,0,244,8,53,0,55,3
0,0,0,1,0,0,0,1,0,0,-9,14,0,286,3,49,0,0,3
1,0,0,1,1,0,1,1,0,0,-9,12,0,332,3,53,0,0,3
1,0,0,0,0,0,0,0,0,1,9,12,0,575,9,48,0,0,3
1,0,0,0,1,0,0,0,0,1,0,9,0,254,2,56,0,0,2
1,1,1,1,0,1,1,1,0,1,0,6,8,296,68,52,1,12,2
1,0,0,1,0,1,0,1,0,1,0,9,0,204,6,51,1,34,1
1,1,0,1,0,0,0,0,0,1,0,10,0,302,3,52,0,0,1
0,0,0,0,0,0,1,0,0,1,5,6,0,404,4,53,1,9,3
0,1,0,1,0,0,0,0,1,1,-9,11,0,458,1,49,0,0,3
0,0,0,1,1,0,1,0,0,1,1,6,3,388,112,49,1,9,3
0,0,0,1,0,0,0,0,0,1,0,10,0,300,2,55,0,0,3
0,0,0,1,1,1,1,0,0,1,0,8,0,609,9,48,0,0,2
1,1,0,1,0,0,1,0,0,1,6,8,1,410,10,46,0,0,2
0,1,0,1,1,0,0,0,0,1,0,5,0,661,2,47,0,0,1
1,1,0,0,0,0,0,1,0,1,0,11,1,383,9,46,0,0,1
0,0,0,1,0,0,1,0,0,1,-9,5,0,384,2,54,0,0,3
0,0,0,0,0,1,1,1,0,1,1,9,3,337,5,52,1,43,2
1,0,0,1,0,1,0,0,0,1,0,11,3,284,36,53,1,3,3
0,0,0,0,0,1,0,1,0,1,0,9,3,232,5,52,1,19,1
0,1,0,1,1,1,0,1,0,1,0,12,0,517,15,55,0,0,2
1,0,0,1,0,1,0,1,0,1,0,9,0,203,10,49,1,6,2
0,0,0,1,0,1,1,1,0,1,13,5,0,486,18,52,1,6,3
1,0,0,1,0,1,1,0,1,1,0,9,0,405,8,47,0,0,2
0,0,0,1,1,0,0,0,0,1,1,11,3,374,83,51,1,10,1
1,0,0,0,1,0,0,1,0,1,1,12,0,475,4,52,0,0,3
0,0,0,1,0,1,0,1,0,0,0,11,0,314,4,46,0,0,3
1,0,0,1,0,0,1,0,1,1,15,4,0,634,9,55,1,16,3
0,0,0,1,1,0,0,1,0,1,2,10,2,267,12,50,1,35,2
1,0,0,0,0,0,1,0,0,1,1,12,5,337,10,54,1,16,3
1,0,0,0,0,0,0,0,1,1,1,9,1,225,6,52,1,10,1
1,0,0,0,0,1,0,0,0,1,-9,12,0,281,3,52,0,0,3
1,0,0,1,0,0,0,0,0,1,-9,11,0,564,4,53,0,0,3
1,0,1,1,0,0,0,1,0,1,0,9,2,225,4,55,0,0,2
1,1,0,1,0,0,0,0,0,1,0,9,0,307,1,48,1,9,2
1,0,0,1,1,0,1,1,0,1,4,11,0,631,14,57,1,9,2
1,0,0,1,0,1,0,1,0,1,0,8,6,211,23,47,1,4,3
0,0,0,0,0,0,0,0,0,1,3,12,1,330,4,53,1,17,3
1,1,1,1,0,1,1,1,0,1,2,7,0,411,9,51,1,4,1
1,0,0,1,0,0,0,1,0,1,0,8,0,216,12,56,0,0,3
1,1,1,1,0,1,1,1,0,1,0,10,1,267,13,55,0,0,2
1,0,0,1,0,1,1,1,0,1,1,14,4,334,67,50,0,0,2
0,1,0,1,1,0,0,0,0,1,0,10,0,433,6,50,1,5,2
1,0,0,1,0,1,1,1,0,1,0,12,1,288,28,49,0,0,1
0,0,0,1,0,1,1,1,0,1,0,10,0,313,46,46,0,0,2
0,0,0,0,1,0,0,0,0,1,0,11,0,328,4,55,1,3,3
1,0,0,1,0,1,1,0,0,1,1,12,2,349,18,48,0,0,1
0,1,0,1,0,1,1,1,0,1,7,11,0,396,7,49,1,3,1
1,0,0,1,0,1,1,0,0,1,3,8,1,348,15,53,0,0,3
0,1,0,0,1,1,1,1,0,1,0,10,0,267,6,57,1,35,2
0,0,0,1,1,1,1,0,1,1,0,9,0,388,18,55,0,0,1
0,0,0,0,0,0,0,0,1,1,1,12,1,358,17,49,0,0,3
1,0,0,1,0,0,1,0,1,1,0,9,0,253,4,46,1,14,2
1,0,0,1,0,0,0,1,0,0,0,12,0,500,5,53,1,3,1
1,0,0,1,0,1,0,1,0,1,1,8,2,269,25,46,0,0,2
0,0,1,1,0,0,0,1,0,1,-9,12,0,337,1,46,0,0,3
1,1,1,1,0,1,0,0,0,1,0,9,1,290,7,56,0,0,1
0,1,0,1,0,0,1,0,0,1,0,12,4,252,24,55,1,16,2
1,0,0,0,0,1,0,0,0,1,0,10,0,227,3,47,0,0,1
1,0,0,1,0,0,0,0,0,0,0,7,0,574,2,51,0,0,3
0,1,0,1,0,0,0,0,0,1,2,9,0,441,4,53,0,0,2
1,0,0,1,0,0,0,1,0,1,-9,12,1,268,2,48,0,0,3
0,0,0,1,1,0,1,0,1,1,2,9,0,665,3,53,0,0,3
0,0,0,1,0,0,0,1,0,1,0,12,1,322,15,47,1,6,3
1,0,0,0,0,0,0,0,1,1,0,7,0,214,7,49,0,0,2
1,0,0,0,0,0,1,1,0,1,-9,12,0,316,2,48,1,8,3
1,0,0,1,0,0,1,0,0,1,3,4,0,533,4,57,0,0,3
1,0,0,1,0,0,0,1,0,1,0,9,0,229,5,52,1,6,2
0,0,0,0,0,1,0,1,0,1,0,10,5,220,14,52,0,0,2
0,0,0,1,0,0,0,0,0,1,1,10,0,442,2,54,0,0,2
1,0,0,1,0,0,1,0,0,1,0,9,1,279,22,47,1,5,2
1,0,0,1,0,0,0,0,1,1,0,7,0,177,6,46,0,0,3
0,1,0,0,1,0,0,1,0,1,4,10,0,425,4,56,1,6,2
0,1,1,1,0,0,0,1,0,1,1,11,1,243,19,46,1,4,2
0,0,0,1,0,1,0,1,0,1,0,11,0,236,17,47,0,0,2
1,1,0,1,0,0,1,1,0,1,0,10,0,535,10,55,0,0,2
1,1,0,1,0,1,0,1,0,1,0,12,1,309,5,47,0,0,2
1,1,1,1,0,0,0,0,0,1,0,14,1,309,7,49,0,0,2
1,0,0,1,1,0,1,0,0,1,0,12,0,372,13,56,0,0,2
1,1,1,1,0,1,0,1,0,0,0,9,0,221,9,50,0,0,2
1,0,0,1,0,1,1,0,1,1,8,12,9,434,197,53,1,14,2
0,0,0,0,0,1,1,0,0,1,0,11,0,285,6,56,0,0,3
0,0,0,1,0,0,1,0,0,0,0,10,1,263,19,57,0,0,2
0,1,0,0,0,0,1,1,0,1,7,9,0,391,4,55,1,47,1
1,0,0,0,0,0,0,0,0,1,1,10,1,259,5,47,1,17,3
1,0,0,1,0,0,0,0,0,1,-9,8,0,526,0,51,1,6,3
0,1,0,0,0,0,1,0,0,1,9,3,0,629,6,54,1,2,1
1,0,0,1,0,0,0,0,0,1,0,8,0,238,1,55,0,0,2
1,0,0,1,0,1,0,1,0,1,0,9,0,276,6,46,0,0,2
1,0,0,1,0,1,1,0,0,1,3,8,1,348,15,53,0,0,3
1,1,0,1,0,0,0,0,0,1,5,5,0,668,16,51,1,5,2
0,0,0,1,1,0,1,0,0,1,0,2,0,518,140,55,0,0,3
1,0,0,1,1,1,0,0,1,1,0,10,5,466,207,51,1,5,3
1,0,0,1,0,0,1,0,0,1,11,15,0,559,13,48,1,1,3
1,0,0,1,0,0,0,0,0,1,3,10,0,543,6,50,0,0,3
1,0,0,1,0,0,0,0,0,1,0,9,2,226,18,53,1,34,2
0,0,0,1,1,1,0,1,0,1,0,11,0,534,19,47,0,0,3
1,0,0,0,0,0,0,1,0,1,-9,7,0,426,3,47,0,0,3
0,0,0,1,0,1,0,1,0,0,0,12,0,441,9,46,0,0,2
1,0,0,1,1,0,1,0,0,1,0,10,0,463,2,51,0,0,3
1,0,0,1,0,0,1,0,0,1,3,12,0,395,3,53,0,0,2
0,0,1,1,0,0,0,0,0,1,0,12,1,335,19,53,1,3,1
0,0,0,1,0,1,1,1,0,1,7,10,3,369,66,56,1,6,2
1,1,0,1,1,0,0,0,0,1,0,10,0,696,7,51,0,0,2
0,1,0,1,0,0,0,0,0,1,4,8,0,396,4,54,0,0,2
1,0,0,0,0,0,1,0,0,1,2,12,4,339,44,54,0,0,2
1,1,0,1,1,0,1,0,0,1,1,14,0,706,4,54,0,0,2
1,0,0,1,0,0,0,0,0,1,-9,4,0,714,2,51,0,0,3
0,1,1,0,0,0,0,1,0,1,0,9,3,228,10,50,1,9,2
1,1,0,1,1,0,1,0,0,1,0,9,0,268,6,48,1,11,2
0,1,0,0,0,1,0,0,1,1,1,9,0,276,4,48,1,28,2
